"top";"left";"qtr";"time_remaining";"result";"shot_type";"distance_ft";"lead";"lebron_team_score";"opponent_team_score";"opponent";"team";"season";"color"
"63";"300";"1st Qtr";"7:27";"False";"2";"6";"True";"9";"6";"LAL";"GSW";"2023";"red"
"133";"389";"1st Qtr";"7:22";"True";"2";"17";"True";"11";"6";"LAL";"GSW";"2023";"green"
"326";"247";"1st Qtr";"7:11";"False";"3";"27";"True";"11";"6";"LAL";"GSW";"2023";"red"
"249";"89";"1st Qtr";"5:16";"False";"3";"25";"True";"19";"13";"LAL";"GSW";"2023";"red"
"282";"158";"1st Qtr";"3:52";"False";"3";"24";"True";"22";"17";"LAL";"GSW";"2023";"red"
"200";"142";"1st Qtr";"2:58";"False";"2";"18";"False";"22";"22";"LAL";"GSW";"2023";"red"
"41";"217";"2nd Qtr";"6:11";"False";"2";"3";"True";"39";"33";"LAL";"GSW";"2023";"red"
"59";"232";"2nd Qtr";"5:15";"True";"2";"1";"True";"43";"33";"LAL";"GSW";"2023";"green"
"53";"252";"2nd Qtr";"4:30";"True";"2";"1";"True";"46";"37";"LAL";"GSW";"2023";"green"
"54";"233";"2nd Qtr";"4:03";"True";"2";"1";"True";"48";"37";"LAL";"GSW";"2023";"green"
"103";"464";"2nd Qtr";"2:48";"False";"3";"23";"True";"51";"39";"LAL";"GSW";"2023";"red"
"63";"261";"2nd Qtr";"0:32";"True";"2";"2";"True";"59";"48";"LAL";"GSW";"2023";"green"
"118";"471";"3rd Qtr";"5:27";"True";"3";"24";"True";"84";"64";"LAL";"GSW";"2023";"green"
"312";"338";"3rd Qtr";"4:51";"True";"3";"28";"True";"87";"64";"LAL";"GSW";"2023";"green"
"367";"192";"3rd Qtr";"3:47";"False";"3";"32";"True";"89";"64";"LAL";"GSW";"2023";"red"
"242";"52";"3rd Qtr";"3:42";"False";"3";"27";"True";"89";"64";"LAL";"GSW";"2023";"red"
"264";"111";"4th Qtr";"6:23";"False";"3";"25";"True";"100";"83";"LAL";"GSW";"2023";"red"
"151";"10";"4th Qtr";"4:01";"True";"3";"25";"True";"109";"93";"LAL";"GSW";"2023";"green"
"59";"233";"4th Qtr";"3:33";"True";"2";"1";"True";"111";"96";"LAL";"GSW";"2023";"green"
"304";"268";"4th Qtr";"3:15";"True";"3";"25";"True";"114";"98";"LAL";"GSW";"2023";"green"
"248";"398";"4th Qtr";"2:46";"False";"3";"25";"True";"115";"100";"LAL";"GSW";"2023";"red"
"274";"96";"1st Qtr";"9:14";"True";"3";"26";"False";"8";"10";"DEN";"GSW";"2023";"green"
"75";"284";"1st Qtr";"6:55";"True";"2";"5";"True";"18";"16";"DEN";"GSW";"2023";"green"
"283";"408";"1st Qtr";"6:39";"False";"3";"29";"False";"18";"18";"DEN";"GSW";"2023";"red"
"312";"233";"1st Qtr";"4:12";"False";"3";"26";"False";"23";"24";"DEN";"GSW";"2023";"red"
"257";"391";"2nd Qtr";"5:59";"False";"3";"25";"False";"41";"55";"DEN";"GSW";"2023";"red"
"313";"340";"2nd Qtr";"3:54";"False";"3";"28";"False";"46";"58";"DEN";"GSW";"2023";"red"
"84";"289";"2nd Qtr";"2:17";"True";"2";"6";"False";"48";"64";"DEN";"GSW";"2023";"green"
"71";"205";"2nd Qtr";"1:44";"True";"2";"4";"False";"50";"66";"DEN";"GSW";"2023";"green"
"147";"270";"3rd Qtr";"9:46";"False";"2";"10";"False";"57";"75";"DEN";"GSW";"2023";"red"
"151";"253";"3rd Qtr";"9:43";"False";"2";"10";"False";"57";"75";"DEN";"GSW";"2023";"red"
"268";"95";"3rd Qtr";"9:21";"False";"3";"26";"False";"57";"77";"DEN";"GSW";"2023";"red"
"90";"272";"3rd Qtr";"4:36";"True";"2";"5";"False";"79";"86";"DEN";"GSW";"2023";"green"
"143";"322";"3rd Qtr";"2:42";"False";"2";"12";"False";"81";"91";"DEN";"GSW";"2023";"red"
"309";"332";"3rd Qtr";"2:17";"True";"3";"27";"False";"84";"93";"DEN";"GSW";"2023";"green"
"72";"323";"4th Qtr";"5:29";"True";"2";"9";"False";"103";"111";"DEN";"GSW";"2023";"green"
"88";"283";"4th Qtr";"4:52";"False";"2";"6";"False";"103";"111";"DEN";"GSW";"2023";"red"
"54";"12";"4th Qtr";"4:04";"False";"3";"23";"False";"105";"114";"DEN";"GSW";"2023";"red"
"253";"68";"4th Qtr";"3:34";"True";"3";"26";"False";"108";"114";"DEN";"GSW";"2023";"green"
"225";"47";"4th Qtr";"2:38";"True";"3";"26";"False";"111";"116";"DEN";"GSW";"2023";"green"
"92";"202";"4th Qtr";"1:52";"False";"2";"5";"False";"111";"116";"DEN";"GSW";"2023";"red"
"384";"344";"4th Qtr";"1:11";"True";"3";"35";"False";"114";"121";"DEN";"GSW";"2023";"green"
"188";"397";"4th Qtr";"0:39";"False";"2";"21";"False";"116";"123";"DEN";"GSW";"2023";"red"
"213";"38";"1st Qtr";"9:06";"False";"3";"26";"True";"10";"2";"SAC";"GSW";"2023";"red"
"80";"226";"1st Qtr";"7:29";"False";"2";"3";"True";"12";"8";"SAC";"GSW";"2023";"red"
"233";"37";"1st Qtr";"7:10";"True";"3";"27";"True";"15";"10";"SAC";"GSW";"2023";"green"
"213";"187";"1st Qtr";"5:47";"True";"2";"17";"True";"19";"17";"SAC";"GSW";"2023";"green"
"82";"276";"1st Qtr";"3:57";"True";"2";"5";"True";"25";"23";"SAC";"GSW";"2023";"green"
"169";"374";"2nd Qtr";"7:15";"True";"2";"18";"True";"58";"54";"SAC";"GSW";"2023";"green"
